codigoSap,denominacion,nivel,direccion,poblacion,distrito
1026,CD Sullana,1,PARCELA NRO. REF. EX PREDIO LA CAPILLA (18881-18879),SULLANA,SULLANA
1027,Cross Docking Soraya,1,AV. DEL CASTILLO NRO. 301 URB. INDUSTRIAL SANTA ROSA,LIMA,ATE
1028,Deposito PAB Lurin,1,AV. INDUSTRIAL NRO. S/N (SECCION 3LAS PRADERAS DE LURIN),LIMA,LURIN
1029,CD PT Chorrillos,1,CAL. ANDROMEDA NRO. 851 URB. LA CAMPIÑA MZA - J LOTE - 05,LIMA,CHORRILLOS
1030,CD Aucallama,1,LOTE. 146 FND. PASAMAYO,HUARAL,AUCALLAMA
1031,CD PT Huaral,1,CAR.VARIANTE PASAMAYO KM. 6 FND. EX FUNDO LA HUACA,HUARAL,HUARAL
1032,CD Pisco,1,CARRETERA PANAMERICANA SUR KM228  SECTOR DE CASALLA CHICO,ICA,PISCO
1900,Central Trujilo,1,MZ. C-1 LT.01 URB. SEMI RUSTICA SANTO TOMAS,TRUJILLO,HUANCHACO
1901,Central Sullana,1,CAL. 8 URB. PARQUE INDUSTRIAL MZA. B LOTE. 06,SULLANA,SULLANA
1902,CA PT Cajamarca,1,AV. SAN MARTIN NRO. 2318 BARRIO SAN MARTIN DE PORRAS,CAJAMARCA,CAJAMARCA
1903,CA PT Chiclayo,1,CAL. FRANCISCO CUNEO 625 URB. PATAZCA,CHICLAYO,CHICLAYO
1904,CA PT Chimbote,1,PARCELA 16757 SN CAS. LA PERLA TRES CABEZAS,CHIMBOTE,CHIMBOTE
1905,CA PT Huaraz,1,CAR. PATIVILCA-HUARAZ S/N(REF.SECTOR TACLLAN),HUARAZ,HUARAZ
1906,CA PT Jaen,1,CAL. JAEN-CHAMAYA 3 A.H. FILA ALTA,JAEN,JAEN
1907,CA PT Trujillo,1,LOTE VD.157-III NRO. SN SEC. VALDIVIA III - VALLE MOCHE,TRUJILLO,HUANCHACO
1908,CA PT Tumbes,1,MZ. C-1 LT.01 URB. SEMI RUSTICA SANTO TOMAS,TUMBES,TUMBES
1909,CD Feria 1 Trujillo,1,PRED. LA ENCALADA UC 1130 NRO.-UBIC.RUR VALLE SANTA CATALINA,TRUJILLO,TRUJILLO
2001,Central de terceros -Lima,1,AV. REPUBLICA DE PANAMA 4295 SURQUILLO,LIMA,SURQUILLO
2002,Central terceros - Piura,1,AV. REPUBLICA DE PANAMA 4295 SURQUILLO,LIMA,SURQUILLO
2003,Central de terceros-Iquitos -B,1,AV. REPUBLICA DE PANAMA 4295 SURQUILLO,LIMA,SURQUILLO
2004,Central de terceros - Huancayo,1,AV. REPUBLICA DE PANAMA 4295 SURQUILLO,LIMA,SURQUILLO
2005,Central de terceros - Puno,1,AV. REPUBLICA DE PANAMA 4295 SURQUILLO,LIMA,SURQUILLO
2006,Central de terceros - Tacna,1,AV. REPUBLICA DE PANAMA 4295 SURQUILLO,LIMA,SURQUILLO
2007,Central de terceros - Libertad,1,AV. REPUBLICA DE PANAMA 4295 SURQUILLO,LIMA,SURQUILLO
2008,Central de terceros - Ica,1,AV. REPUBLICA DE PANAMA 4295 SURQUILLO,LIMA,SURQUILLO
2009,Central de terceros - Cusco,1,AV. REPUBLICA DE PANAMA 4295 SURQUILLO,LIMA,SURQUILLO
2010,Central de terceros - Arequipa,1,AV. REPUBLICA DE PANAMA 4295 SURQUILLO,LIMA,SURQUILLO
2011,Central de terceros - Lambayeq,1,AV. REPUBLICA DE PANAMA 4295 SURQUILLO,LIMA,SURQUILLO
2013,Central terceros ins - Lima,1,AV. REPUBLICA DE PANAMA 4295 SURQUILLO,LIMA,SURQUILLO
2014,Deposito aduanero,1,AV. REPUBLICA DE PANAMA 4295 SURQUILLO,LIMA,SURQUILLO
2100,Almacenera Trujillo - Trujillo,1,CAR. PANAMERICANA NRO. S/N FND. LARREA (EX FUNDO LARREA),TRUJILLO,MOCHE
2101,Almac. Quimsa - CT Lima,1,AV. LOS FAISANES NRO. 136 URB. LA CAMPIÑA (MZ. D LOTE 3),LIMA,CHORRILLOS
2102,Almac. Soraya - CT Lima,1,AV. DEL CASTILLO NRO. 301 URB. INDUSTRIAL SANTA ROSA,LIMA,ATE
2104,UNIMAR - CT Insumos Lima,1,AV. NESTOR GAMBETA NRO. 5349(EXFUNDO OQUENDO),PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO
2105,Fripusa - CT Piura,1,CAR.PAITA-SULLANA KM. 51 (ZONAIND. II),PAITA,COLAN
2106,Santa Clara - CT Lima,1,CAL.LOS CEDROS NRO. 181 URB. SHANGRILLA,LIMA,PUENTE PIEDRA
2107,Ransa 2 - CT Arequipa,1,CAL. JACINTO IBAÑEZ NRO. 315 URB. PARQUE INDUSTRIALIND. II),AREQUIPA,AREQUIPA
